year,total,prof,assprof,asstprof,lecture,ta,out_total,out_prof,out_prof,out_assprof
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1950,313,178,71,,64,190,,,,
1951,336,186,74,,76,186,,,,
1952,353,187,77,,89,178,,,,
1953,389,204,81,,104,168,,,,
1954,438,224,93,,121,196,,,,
,,,,,,,,,,
1955,459,229,98,,132,211,,,,
1956,521,254,102,,165,188,,,,
1957,518,255,98,,165,206,,,,
1958,556,279,108,,169,193,,,,
1959,576,281,122,,173,167,,,,
,,,,,,,,,,
1960,582,283,127,,172,199,,,,
1961,629,295,163,,171,226,,,,
1962,650,304,170,,176,233,,,,
1963,696,322,179,,195,224,5,3,2,
1964,723,335,179,,209,228,7,4,3,
,,,,,,,,,,
1965,731,338,189,,204,259,7,5,2,
1966,768,354,195,,219,235,7,5,2,
1967,814,368,220,,226,256,6,5,1,
1968,821,369,220,,232,268,9,5,4,
1969,912,390,284,,238,295,10,5,5,
,,,,,,,,,,
1970,966,404,316,,246,297,16,7,9,
1971,977,406,328,,243,290,18,9,9,
1972,"1,022",431,333,,258,276,28,15,13,
1973,"1,024",398,343,,283,269,28,17,11,
1974,"1,094",440,363,,291,299,32,22,10,
,,,,,,,,,,
1975,"1,088",454,344,,290,256,36,29,7,
1976,"1,098",476,340,,282,249,33,30,3,
1977,"1,106",484,344,,278,233,32,29,3,
1978,"1,123",502,341,,280,236,34,29,5,
1979,"1,110",488,340,,282,248,36,31,5,
,,,,,,,,,,
1980,"1,164",531,340,,293,222,45,38,7,
1981,"1,169",555,337,,277,228,47,37,10,
1982,"1,258",587,374,,297,249,56,41,15,
1983,"1,221",581,373,,267,252,60,47,13,
1984,"1,276",615,416,,245,257,57,45,12,
,,,,,,,,,,
1985,"1,318",605,449,,264,261,57,44,13,
1986,"1,418",656,503,,259,253,55,43,12,
1987,"1,478",680,544,,254,234,60,45,15,
1988,"1,526",696,576,,254,241,65,45,20,
1989,"1,547",721,584,,242,250,56,43,13,
,,,,,,,,,,
1990,"1,592",747,618,,227,260,53,41,12,
1991,"1,680",802,655,,223,237,55,43,13,
1992,"1,727",856,661,,210,250,56,43,13,
1993,"1,747",861,677,,209,264,55,42,13,
1994,"1,793",901,678,,214,260,56,44,12,
,,,,,,,,,,
1995,"1,795",929,646,,220,257,58,47,11,
1996,"1,823",961,669,,193,264,59,48,11,
1997,"1,813",999,593,54,167,274,57,50,7,
1998,"1,822",995,575,98,154,277,59,52,7,
1999,"1,794",991,545,126,132,286,53,48,5,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2000,"1,778","1,011",497,156,114,301,58,53,5,
2001,"1,783","1,011",478,185,109,318,61,54,5,2
2002,"1,771",998,462,218,93,322,65,60,3,2
2003,"1,772",997,452,238,85,338,70,58,9,3
2004,"1,802",997,443,283,79,321,79,63,13,3
,,,,,,,,,,
2005,"1,818","1,002",455,294,67,306,75,60,11,4
2006,"1,869","1,020",450,330,69,307,78,60,14,4
2007,"1,901","1,027",459,352,63,282,87,64,17,6
2008,"1,924","1,024",470,365,65,266,91,68,17,6
2009,"1,967","1,051",472,382,62,258,96,67,21,8
,,,,,,,,,,
2010,"1,972","1,075",466,377,54,248,113,74,26,13
2011,"1,983","1,089",481,364,49,176,123,80,26,17
2012,"1,993","1,108",484,356,45,149,121,80,27,14
2013,"2,044","1,127",473,394,50,135,120,78,32,10
