本地生、外籍生人數，v學院分類,,,,本地生,,,外籍生,,
year,total,total_male,total_female,nat_total,nat_total_male,nat_total _female,for_total,for_total_male,for_total_female
total,"16,532","9,441","7,091","15,425","8,855","6,570","1,107",586,521
Liberal Art,"2,116",665,"1,451","1,916",604,"1,312",200,61,139
Science,"1,554","1,124",430,"1,482","1,079",403,72,45,27
Social Science,"1,795",771,"1,024","1,688",720,968,107,51,56
Medicine,"1,967","1,211",756,"1,833","1,151",682,134,60,74
Engineering,"2,016","1,683",333,"1,861","1,556",305,155,127,28
Bio,"2,371","1,317","1,054","2,172","1,213",959,199,104,95
Management,"2,056",921,"1,135","1,990",897,"1,093",66,24,42
Public Sanitary,143,64,79,137,64,73,6,0,6
EE,"1,304","1,116",188,"1,215","1,043",172,89,73,16
Law,801,344,457,749,320,429,52,24,28
Life Science,409,225,184,382,208,174,27,17,10
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
